Sexo,Edad,DS_00,DS_01,DS_02,DS_03,DS_04,DS_05,DS_06,DS_07,DS_08,DS_09,DS_10,DS_11,DS_12,DS_13,DS_14,DS_15,DS_16,DS_17,DS_18,DS_19,DS_20,DS_21,DS_22,DS_23,DS_24
M,76,0,347,978,628,598,1261,903,1033,229,1256,1079,1010,655,817,733,556,623,758,586,822,539,528,1043,634,446
M,77,0,416,1206,869,773,1649,1272,1359,273,1768,1570,1321,910,998,1033,733,735,1001,904,1172,632,739,1113,862,585
M,78,0,249,705,427,448,1030,766,857,145,1047,926,803,504,647,615,379,540,670,527,722,440,485,901,546,359
M,79,0,294,816,537,556,1200,925,970,179,1214,1091,988,646,696,666,482,588,785,623,807,544,597,896,631,438
M,80,1,343,975,700,567,1285,998,1061,216,1386,1137,1038,753,701,701,608,557,800,696,886,530,552,782,695,464
M,81,0,340,905,637,607,1171,916,968,240,1251,1098,943,691,598,789,540,586,748,619,813,493,516,686,682,430
M,82,0,319,943,585,574,1170,911,904,214,1224,1024,893,651,637,751,500,511,754,604,780,443,508,615,591,417
M,83,0,334,877,556,566,1113,835,949,210,1207,990,929,585,526,644,521,537,705,618,795,408,502,514,576,405
M,84,0,315,896,616,535,1109,841,881,216,1210,955,838,643,555,794,513,484,708,650,727,426,511,450,535,424
M,85,0,249,767,557,508,962,821,790,198,1028,898,765,565,450,578,416,464,654,559,658,362,409,443,505,332
M,86,0,242,677,437,483,849,732,694,190,1011,791,731,564,411,559,405,403,557,520,612,327,355,326,466,312
M,87,1,263,645,461,428,785,652,684,171,909,807,584,476,403,529,387,377,575,524,580,330,374,281,422,321
M,88,0,216,585,368,400,658,581,546,140,790,646,555,351,327,422,326,309,465,390,492,274,276,259,313,238
M,89,0,181,519,322,311,636,462,510,122,670,527,452,349,295,354,309,256,437,386,418,241,237,250,303,244
M,90,0,119,431,266,246,456,424,406,105,564,440,399,287,215,261,224,210,345,293,350,190,189,172,262,199
M,91,0,138,387,253,233,454,351,371,80,506,389,359,248,201,271,198,207,300,230,291,181,155,141,196,171
M,92,0,110,294,189,157,369,267,270,69,400,365,242,175,142,206,159,150,283,197,221,135,118,91,157,116
M,93,0,71,195,138,143,271,235,210,45,322,235,191,148,131,161,141,116,236,162,192,121,107,86,113,99
M,94,0,61,188,102,109,211,196,172,49,259,195,141,94,102,112,91,82,133,128,131,68,63,67,107,75
M,95,0,41,151,98,79,163,177,133,37,185,159,109,85,96,76,72,68,128,90,93,55,63,58,70,58
M,96,0,41,102,64,58,115,83,93,19,129,105,74,48,62,58,54,51,96,76,71,41,42,37,37,34
M,97,0,30,56,41,39,93,65,54,17,107,68,42,32,40,40,34,37,71,35,59,27,29,24,34,26
M,98,0,25,44,21,30,41,45,43,10,52,60,33,26,35,17,27,19,31,29,21,15,20,17,17,20
M,99,0,12,26,14,10,31,30,29,5,47,37,15,19,18,11,15,13,36,19,27,12,11,9,10,8
M,100,0,15,25,15,15,23,20,17,4,25,14,16,14,15,13,9,12,28,11,15,11,6,6,5,8
M,101,0,6,13,8,5,10,15,19,4,22,8,8,7,8,3,4,8,9,6,13,4,6,4,6,2
M,102,0,5,10,5,6,6,5,4,2,12,5,6,6,6,6,5,3,8,8,7,3,5,4,7,2
M,103,0,3,5,3,5,9,9,8,1,8,6,3,7,3,3,2,5,11,2,3,4,3,4,3,1
M,104,0,1,5,0,1,3,4,4,0,7,5,0,3,2,0,1,6,7,1,4,2,1,0,1,0
M,105,0,0,4,1,2,6,3,3,0,1,1,2,1,2,3,2,4,3,1,4,2,0,3,1,0
M,106,0,1,1,1,2,1,1,0,1,5,0,2,0,1,0,1,0,2,1,0,0,0,1,3,0
M,107,0,0,1,0,1,0,1,1,1,4,0,1,0,2,0,0,1,1,0,2,0,0,0,0,0
M,108,0,0,1,0,1,1,0,1,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,1
M,109,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
M,110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
M,111,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
M,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
