Fecha,Casos activos COVID-19,Casos acumulados COVID-19,Nuevos casos diarios COVID-19,Personas recuperadas,Casos detectados COVID-19,Casos detectados acumulados,Personas hospitalizadas por COVID-19,Ingresados en UCI,Número total de fallecidos
2020-05-23,18470.0,116606.0,614.0,97725.0,2462.6666666666665,15547.466666666667,233.7609375,46.752187500000005,1494.948717948718
2020-05-24,18259.0,117210.0,604.0,98538.0,2434.5333333333333,15628.0,231.09046875,46.21809375000001,1502.6923076923076
2020-05-25,18010.0,117801.0,591.0,99375.0,2401.3333333333335,15706.8,227.9390625,45.587812500000005,1510.2692307692307
2020-05-26,17798.0,118372.0,571.0,100155.0,2373.0666666666666,15782.933333333332,225.25593750000002,45.051187500000005,1517.5897435897436
2020-05-27,17550.0,118907.0,535.0,100931.0,2340.0,15854.266666666666,222.1171875,44.423437500000006,1524.448717948718
2020-05-28,17349.0,119463.0,556.0,101687.0,2313.2,15928.4,219.57328125,43.91465625000001,1531.576923076923
2020-05-29,17122.0,119986.0,523.0,102430.0,2282.9333333333334,15998.133333333333,216.70031250000002,43.34006250000001,1538.2820512820513
2020-05-30,16872.0,120485.0,499.0,103175.0,2249.6,16064.666666666666,213.53624999999997,42.707249999999995,1544.679487179487
2020-05-31,16538.0,120887.0,402.0,103909.0,2205.0666666666666,16118.266666666666,209.3090625,41.861812500000006,1549.8333333333333
2020-06-01,16168.0,121290.0,403.0,104674.0,2155.733333333333,16172.0,204.62624999999997,40.92525,1555.0
2020-06-02,15835.0,121658.0,368.0,105369.0,2111.3333333333335,16221.066666666666,200.41171875000003,40.08234375000001,1559.7179487179487
2020-06-03,15554.0,122051.0,393.0,106042.0,2073.866666666667,16273.466666666667,196.85531250000003,39.37106250000001,1564.7564102564102
2020-06-04,15171.0,122404.0,353.0,106774.0,2022.8,16320.533333333333,192.00796875,38.40159375,1569.2820512820513
2020-06-05,14824.0,122728.0,324.0,107444.0,1976.5333333333333,16363.733333333334,187.61625,37.523250000000004,1573.4358974358975
2020-06-06,14419.0,122978.0,250.0,108095.0,1922.5333333333333,16397.066666666666,182.49046875,36.49809375,1576.6410256410256
2020-06-07,14010.0,123239.0,261.0,108763.0,1868.0,16431.866666666665,177.3140625,35.462812500000005,1579.9871794871794
2020-06-08,13599.0,123479.0,240.0,109409.0,1813.2,16463.866666666665,172.11234375,34.42246875,1583.0641025641025
